CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;motivation1;motivation2;motivation3;motivation4;motivation5;motivation6;motivation7;motivation8;motivation9;Attention1;gender;gender_sonstiges;age;employment;employment1;employment2;employment3;employment4;employment5;employment6;grad;grad_sonstiges;hours;EF02;CO;CO1;support1;support2;techno1;techno2;techno3;techno4;techno5;techno6;techno7;techno8;techno9;techno10;techno11;techno12;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
87;;;aow1;interview;06.06.2026 17:03;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;5;2;;;;;;;;7;;06.06.2026 17:03;screenout;1;0;2;2;0;0;2,75
88;;;aow1;interview;06.06.2026 17:03;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;6;3;;;;;;;;9;;06.06.2026 17:03;;0;0;2;2;0;0;2,33
91;;;aow1;interview;06.06.2026 19:55;5;4;5;3;6;6;6;5;3;2;2;;22;1;2;1;1;1;1;;4;;20;1;-9;;4;1;5;5;4;4;2;2;3;1;3;1;1;2;13;3;19;36;30;18;27;21;2;169;;06.06.2026 19:58;complete;1;0;9;9;3;0;1,52
94;;;aow1;interview;06.06.2026 20:00;6;6;6;6;7;7;6;6;6;2;1;;54;1;2;1;1;1;1;;8;;40;1;-9;;5;5;4;2;1;1;1;1;1;1;1;1;2;1;31;14;38;67;62;26;47;46;4;326;;06.06.2026 20:05;complete;1;0;9;9;3;0;0,72
98;;;aow1;interview;06.06.2026 20:18;3;6;6;5;5;6;6;6;5;2;1;;61;1;2;1;1;1;1;;8;;35;1;-9;;5;5;4;2;3;1;1;2;3;2;1;1;4;3;30;6;36;245;48;21;64;40;4;300;;06.06.2026 20:26;complete;1;0;9;9;3;0;0,75
99;;;aow1;interview;06.06.2026 20:48;4;5;5;4;4;4;6;4;4;2;2;;28;1;2;1;1;1;1;;8;;40;1;-9;;5;5;5;4;2;2;2;1;3;2;1;2;2;1;18;3;19;44;37;11;17;21;2;172;;06.06.2026 20:51;complete;1;0;9;9;3;0;1,55
101;;;aow1;interview;06.06.2026 20:51;3;5;4;4;5;4;5;3;2;2;1;;26;1;1;2;1;1;1;;7;;40;1;-9;;5;5;4;3;1;1;1;1;5;1;2;1;2;1;7;6;44;91;95;13;58;84;5;353;;06.06.2026 20:57;complete;1;0;9;9;3;0;0,95
102;;;aow1;interview;06.06.2026 21:16;2;3;3;4;3;3;4;5;3;2;1;;60;1;2;1;1;1;1;;8;;43;1;-9;;2;2;4;4;5;4;4;3;5;4;1;2;3;4;83;6;65;38;30;19;42;28;3;314;;06.06.2026 21:22;complete;1;0;9;9;3;0;0,95
105;;;aow1;interview;06.06.2026 21:19;3;6;3;2;5;7;6;6;3;2;1;;55;1;2;1;1;1;1;;1;;25;1;-9;;5;5;4;2;1;1;5;5;4;4;2;1;3;5;17;4;64;48;37;14;48;20;3;255;;06.06.2026 21:23;complete;1;0;9;9;3;0;1,13
106;;;aow1;interview;06.06.2026 22:07;5;5;6;6;6;7;6;6;6;2;2;;53;1;2;1;1;1;1;;8;;40;1;-9;;4;2;4;2;3;3;2;2;2;2;3;2;2;2;55;6;32;52;54;17;24;28;5;273;;06.06.2026 22:11;complete;1;0;9;9;3;0;0,94
107;;;aow1;interview;06.06.2026 22:20;4;5;5;6;4;6;5;5;5;2;1;;56;1;2;1;1;1;1;;7;;40;1;-9;;5;4;3;4;2;2;3;3;3;3;2;2;2;2;82;10;40;75;51;28;35;54;5;380;;06.06.2026 22:27;complete;1;0;9;9;3;0;0,68
109;;;aow1;interview;06.06.2026 23:28;;;;;;;;;;;1;;22;2;2;2;1;1;1;;4;;10;1;;;;;;;;;;;;;;;;;20;5;16;;;;;;;41;;06.06.2026 23:29;;0;0;3;3;0;0;1,47
110;;;aow1;interview;07.06.2026 00:07;5;5;5;4;5;7;4;5;6;2;-1;;43;1;2;1;1;1;1;;8;;39;1;-9;;3;2;4;3;3;3;1;2;3;2;1;1;3;1;7;6;91;55;55;16;35;41;2;308;;07.06.2026 00:13;complete;1;0;9;9;3;0;1,15
111;;;aow1;interview;07.06.2026 12:02;2;3;3;2;3;3;3;2;2;2;2;;61;1;2;1;1;1;1;;5;;49;1;-9;;5;4;5;4;4;4;4;4;3;2;3;3;2;3;7;4;43;47;67;27;61;136;7;297;;07.06.2026 12:09;complete;1;0;9;9;3;0;0,97
113;;;aow1;interview;07.06.2026 19:00;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;13;3;;;;;;;;16;;07.06.2026 19:00;;0;0;2;2;0;0;1,72
114;;;aow1;interview;07.06.2026 19:04;3;2;3;5;3;1;4;4;5;2;1;;24;1;2;1;1;1;1;;4;;39;1;-9;;3;3;4;4;4;3;1;1;5;3;4;1;4;2;32;3;64;36;31;14;27;34;3;244;;07.06.2026 19:08;complete;1;0;9;9;3;0;1,16
